category,question,answer
Post-Matric Scholarships Scheme,What is the objective of the scheme?,To increase the enrolment ratio of students in higher education.
Post-Matric Scholarships Scheme,What is the eligibility criteria?,"Students of Telangana State; within the age limit — Intermediate 24 years, Undergraduate 29 years, Postgraduate 34 years."
Post-Matric Scholarships Scheme,Who is eligible?,Those pursuing post-secondary courses in recognized institutions/universities/colleges.
Post-Matric Scholarships Scheme,What is the income limit?,Rs. 2.00 lakhs from all sources of the family.
Post-Matric Scholarships Scheme,Is any reservation applicable?,No.
Post-Matric Scholarships Scheme,Where to get the application form?,Online.
Post-Matric Scholarships Scheme,How to apply?,https://telanganaepass.cgg.gov.in
Post-Matric Scholarships Scheme,Who is the sanctioning authority?,Concerned District SC Development Officer.
Post-Matric Scholarships Scheme,What documents are required for scrutiny?,"Bonafide certificate of previous year, income & caste certificates from Mee-Seva, CET allotment orders (professional courses), bank passbook, Aadhaar card, educational qualification certificates."
Post-Matric Scholarships Scheme,Where to complain in case of grievance?,Concerned District SC Development Officer.
Post-Matric Scholarships Scheme,Why does a student need a bank account?,Every student must have an account in a nationalised scheduled bank to receive the scholarship.
Post-Matric Scholarships Scheme,How to change the registered bank account?,"Submit original bank documents to the concerned DSCDO, who submits a change request to the PMU."
Post-Matric Scholarships Scheme,What is the verification process?,(1) College verification — the Principal verifies the documents against the application and forwards it for departmental verification. (2) Scrutiny by the Welfare Officer — confirms the college verification before sanctioning.
Post-Matric Scholarships Scheme,How much reimbursement does a student get?,"Depends on the course — mostly 100% of tuition fee; for self-financed courses, a maximum of Rs. 20,000 or the actual fee, whichever is less."
Post-Matric Scholarships Scheme,Is a Telangana student studying in another state eligible?,"Yes, they can apply online."
Post-Matric Scholarships Scheme,"Can a student from another state, studying in Telangana, apply?","No, but they may consult the concerned DSCDO for clarification."
Post-Matric Scholarships Scheme,What if the bank account number is wrongly uploaded?,Re-upload the passbook at a Mee-Seva/internet centre; it is confirmed at the district login.
Post-Matric Scholarships Scheme,What if Aadhaar/Income/Caste certificate is rejected?,Re-upload it in e-PASS; it is confirmed at the district login.
Post-Matric Scholarships Scheme,What if other board (CBSE/ICSE/OSS) details aren't visible for a fresh application?,"Submit the original/Xerox SSC memo to the district office, which is scanned and forwarded to the PMU for confirmation."
Post-Matric Scholarships Scheme,What if RTF is not sanctioned?,Update the fee structure at the PMU; RTF will then be sanctioned.
Post-Matric Scholarships Scheme,What if MTF is not sanctioned to DAH boarders?,MTF is not sanctioned for students in Departmental Attached Hostels (Green Channel); the HWO maintains the hostel using the MTF amount.
Post-Matric Scholarships Scheme,What is an RTF differential sanction?,"If a student wrongly uploads course details, the option to edit is available at the PMU, and the differential amount is sanctioned as per allotment."
Post-Matric Scholarships Scheme,What should a discontinued student do to get a scholarship for the same level course?,Remit the previously sanctioned amount as a challan and update the district login before applying afresh.
Post-Matric Scholarships Scheme,What about students with a gap in studies?,Update the Gap/Bonafide or re-admission certificate from the university in e-PASS.
Post-Matric Scholarships Scheme,What does 'Fee Exempted' shown online mean?,It appears if the student fails to submit an income certificate at the time of counselling for verification.
Post-Matric Scholarships Scheme,What if CET details don't match CET data?,CET details must be verified and re-uploaded in e-PASS.
Post-Matric Scholarships Scheme,What if a day scholar wants to stay in the CAH?,The application and college bonafide must be verified and updated in e-PASS.
Post-Matric Scholarships Scheme,What if the MTF amount is released but not credited to the student's account?,"If the account is inoperative, the amount returns to e-Kuber; once the account is made operative, it is re-credited."
Post-Matric Scholarships Scheme,What if biometric Aadhaar authentication shows 'pending'?,The student must update their fingerprint at an Aadhaar centre.
Post-Matric Scholarships Scheme,What if the hard copy is not received by the district officer?,The barcode form with documents must be submitted at the district office by the college management.
Post-Matric Scholarships Scheme,How can I check my scholarship status?,By visiting https://telanganaepass.cgg.gov.in
Corporate College Scheme,What is the other name of the scheme?,Corporate College Scheme.
Corporate College Scheme,Is this a DRDA scheme?,"No, it is a Scheduled Castes Development Department scheme."
Corporate College Scheme,What is the main objective?,"To give meritorious poor SC/ST/BC/MW students access to quality Intermediate education in reputed private colleges, enabling them to compete in IIT-JEE/AIEEE/EAMCET for premier Medical & Engineering seats."
Corporate College Scheme,What is the eligibility criteria?,More than 7.0 GPA in SSC; category of school studied in; SC candidate; annual family income Rs. 2.00 lakhs.
Corporate College Scheme,Who is eligible?,"SC students native to Telangana who studied in Welfare Hostels, Ashram Schools, KGBVs, Govt./Municipal/ZP/Aided High Schools, Residential Schools, Jawahar Navodaya Vidyalayas, or Best Available Schools."
Corporate College Scheme,Are private-college students eligible?,No.
Corporate College Scheme,What is the income limit?,"SC: below Rs. 2.00 lakhs p.a. BC/MW/EBC: rural Rs. 1.50 lakhs, urban Rs. 2.00 lakhs p.a."
Corporate College Scheme,Can two persons from one family be eligible?,Yes.
Corporate College Scheme,What fee does the Government pay the college?,"Rs. 38,000 per student — Rs. 35,000 tuition fee + Rs. 3,000 pocket expenses per year."
Corporate College Scheme,What is the mode of payment of pocket expenses?,Direct benefit transfer to the student's bank account.
Corporate College Scheme,What does the tuition fee cover?,"Fee, books, material, mess and other maintenance charges."
Corporate College Scheme,Are selected students day scholars or residential?,Residential only.
Corporate College Scheme,How to apply?,Register online at telanganaepass.cgg.gov.in
Corporate College Scheme,What documents are required?,"SSC memo, 7 years' study certificate, income & caste certificates (Mee-Seva), Aadhaar, bank passbook copy, HWO certificate (if Govt. hostel student for 3 years), PHC certificate (if handicapped)."
Corporate College Scheme,"If a student studied Classes 1–5 in Andhra, are they eligible for 6–10 in Telangana?","Yes, since the last 4 of 7 years were in Telangana."
Corporate College Scheme,"If a student studied Classes 1–5 in Telangana, are they eligible for 6–10 in Andhra to apply under this Telangana scheme?","No, since the last 4 of 7 years were in Andhra."
Corporate College Scheme,What is the web portal?,https://telanganaepass.cgg.gov.in — click Corporate Admissions.
Corporate College Scheme,How many colleges are under this scheme?,41 colleges across Telangana.
Corporate College Scheme,Where is the list of colleges available?,In e-PASS under Corporate Admissions → List of Colleges under Corporate Scheme.
Corporate College Scheme,What is the department-wise seat allocation?,"SCDD 50%, Tribal Welfare 25%, Backward Classes 20%, Minorities Welfare 5% (may vary in agency areas)."
Corporate College Scheme,Is there reservation for boys/girls?,"Yes — 60% for girls, 40% for boys."
Corporate College Scheme,Is there reservation for the handicapped?,At least 3% against each quota.
Corporate College Scheme,What is the category-wise selection mode?,CAT-I: Welfare hostels/Ashram schools/KGBVs 50%. CAT-II: Govt./Municipal/ZP/Aided High Schools 25%. CAT-III: Govt./Welfare Residential Schools & JNVs 20%. CAT-IV: Best Available Schools 5%.
Corporate College Scheme,Is there publicity inviting applications?,"Yes, a press note is issued in Telugu daily newspapers."
Corporate College Scheme,On what basis are seats allotted?,"Merit, in a transparent manner, based on options exercised and seat availability."
Corporate College Scheme,Can a student from one district opt for another district?,"Yes, any identified college across the state."
Corporate College Scheme,Can a student change college after allotment?,No changes are permitted after allotment.
Corporate College Scheme,Can a student edit college/location choice after registration?,Yes.
Corporate College Scheme,How does a student know their selection status?,Via e-PASS Corporate Admissions; also an SMS is sent to the registered mobile and the DSCDO office calls to attend certificate verification.
Corporate College Scheme,Is selection manual or online?,Online.
Corporate College Scheme,Who conducts selection — District Collector or HOD?,Head of the Department at Hyderabad.
Corporate College Scheme,Where does the student report after allotment?,"For certificate verification at the district office, per published schedule."
Corporate College Scheme,What documents are needed for certificate verification?,"Original SSC memo, 7 years' study certificate, income & caste certificates, Aadhaar, bank passbook, HWO certificate, PHC certificate (if applicable)."
Corporate College Scheme,Is certificate verification done in Hyderabad?,"No — selection is at Hyderabad, but certificate verification is at the respective district as per nativity."
Corporate College Scheme,Is there a random check before finalizing the selection list?,"Yes, enabled at JD/DD/DSCDO logins to catch category/merit errors."
Corporate College Scheme,Where does a student attend verification if selected for a Hyderabad college but native to another district?,Their native district.
